post id,condition:,cylinders:,drive:,fuel:,odometer:,title status:,transmission:,type:,Ad Date,price,Make,Model,Year,Scraped on,Ad Age (days),Page,paint color:,vin:
7753469442,like new,4 cylinders,rwd,gas,92000,clean,automatic,sedan,2024-06-03,10400,bmw,328i,2015,2024-06-03,0,,white,
7753469091,excellent,4 cylinders,4wd,gas,121000,clean,automatic,hatchback,2024-06-03,8500,subaru,forester,2010,2024-06-03,0,,blue,
7753469097,like new,8 cylinders,,gas,10210,salvage,automatic,,2024-06-03,77900,ram,1500,2022,2024-06-03,0,,,
7753468694,excellent,6 cylinders,rwd,gas,114000,clean,automatic,sedan,2024-06-03,10500,bmw,330i,2004,2024-06-03,0,,red,
7753467209,good,6 cylinders,rwd,gas,178000,salvage,automatic,sedan,2024-06-03,3300,mercedes-benz,m-class ml 320,2003,2024-06-03,0,,white,
7753466410,excellent,4 cylinders,fwd,gas,170000,clean,automatic,SUV,2024-06-03,2750,Mitsubishi,Outlander,2003,2024-06-03,0,,grey,JA4LX31G33U038495
7753465981,good,6 cylinders,fwd,gas,155000,clean,automatic,SUV,2024-06-03,5500,lexus,rx300,2001,2024-06-03,0,,silver,
7753463448,excellent,8 cylinders,,gas,8350,clean,automatic,convertible,2024-06-03,109000,Chevrolet,Bel Air Convertible,1957,2024-06-03,0,,,VC57T183627
7753463121,good,6 cylinders,rwd,gas,124000,clean,automatic,sedan,2024-06-03,4500,bmw,530i,2007,2024-06-03,0,,black,WBANE73537CM48052
7753462175,like new,3 cylinders,fwd,gas,74000,clean,automatic,hatchback,2024-06-03,7999,mitsubishi,mirage,2021,2024-06-03,0,,red,
7753461512,like new,6 cylinders,,gas,49500,clean,automatic,SUV,2024-06-03,17500,Mercedes-Benz,GLK350,2014,2024-06-03,0,,white,WDCGG5HB5EG165175
7753461188,,8 cylinders,,gas,184420,clean,automatic,,2024-06-03,4900,pontiac,firebird trans am,1999,2024-06-03,0,,black,
7753459145,good,,,gas,100000,clean,manual,,2024-06-03,34900,Pontiac,bonneville impala,1958,2024-06-03,0,,,
7753458533,like new,8 cylinders,,gas,1000,clean,automatic,,2024-06-03,27000,mercury,coupe,1968,2024-06-03,0,,green,
7753457699,like new,6 cylinders,rwd,gas,82000,clean,automatic,,2024-06-03,8500,bmw,328i,2011,2024-06-03,0,,,
7753457056,,,,gas,100000,clean,automatic,,2024-06-03,5000,Chevy,Caprice,1993,2024-06-03,0,,,
7753456701,good,8 cylinders,fwd,gas,90000,clean,other,sedan,2024-06-03,7100,Mercedes Benz,,2011,2024-06-03,0,,white,
7753456487,,,,gas,182000,clean,automatic,truck,2024-06-03,5900,chevy,silverado 2500 hd,2002,2024-06-03,0,,white,
7753456479,new,6 cylinders,rwd,gas,112000,clean,automatic,,2024-06-03,8950,bmw,335i,2013,2024-06-03,0,,,
7753456095,like new,,,gas,21000,clean,automatic,,2024-06-03,97000,Porsche,911 Carrera S Sport Design Edition,2015,2024-06-03,0,,black,
7753454919,,,,gas,32186,clean,automatic,SUV,2024-06-03,,Cadillac,Escalade ESV,2019,2024-06-03,0,,,1GYS4KKJ3KR258956
7753453099,excellent,6 cylinders,rwd,gas,152000,clean,automatic,sedan,2024-06-03,5700,BMW,525i,1995,2024-06-03,0,,blue,WBAHD6320SGK83725
7753450830,,,,gas,45000,salvage,automatic,,2024-06-03,26500,a,,2013,2024-06-03,0,,,
7753450021,,,,gas,110000,clean,automatic,,2024-06-03,16250,porsche,macan,2015,2024-06-03,0,,,
